City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
467,Turlock,US,75.0,clear sky,37.4947,-120.8466,Days Inn by Wyndham Turlock
469,Sechura,PE,78.12,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
474,Koumac,NC,76.57,overcast clouds,-20.5667,164.2833,Le Monitel
476,Pocao De Pedras,BR,76.8,overcast clouds,-4.6667,-44.85,Hotel Magazine
487,Nieuw Amsterdam,SR,84.36,scattered clouds,5.8833,-55.0833,Hotel Stardust
489,Ribeirao,BR,75.85,scattered clouds,-8.5144,-35.3778,Pousada Talismar
490,Santo Antonio Do Ica,BR,82.6,broken clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
492,Grand Gaube,MU,76.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
494,Ibra,OM,79.65,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
499,Cabo San Lucas,MX,93.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
504,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
505,Kailua,US,80.58,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
506,Aquin,HT,81.46,overcast clouds,18.2833,-73.4,Asheev Beach
508,La Reforma,MX,87.53,overcast clouds,25.0833,-108.05,Hotel Reforma
510,Dao,PH,75.22,overcast clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
512,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
513,Nizwa,OM,82.67,clear sky,22.9333,57.5333,Orient Apartments
514,Senador Jose Porfirio,BR,79.59,moderate rain,-2.5908,-51.9542,Pousada Novo Horizonte
522,Varangaon,IN,86.02,clear sky,21.0167,75.9,Pramod Tawade
524,Sao Felix Do Xingu,BR,76.37,light rain,-6.6447,-51.995,Rio Xingu Camping
526,Bonthe,SL,79.14,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
529,Maragogi,BR,78.8,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
530,Gwadar,PK,81.14,clear sky,25.1216,62.3254,Sadaf Resort
535,Garowe,SO,80.82,broken clouds,8.4054,48.4845,Curubo Hotel
538,Les Cayes,HT,81.1,overcast clouds,18.2,-73.75,Villa Orphee
539,Daru,PG,78.67,overcast clouds,-9.0763,143.2092,Daru Lodge
541,Ugoofaaru,MV,83.95,overcast clouds,5.6667,73.0,Ungoofaaru Inn
542,Corn Island,NI,80.83,scattered clouds,12.1694,-83.0418,Big Fish Guest House
544,Itarema,BR,79.16,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
547,Puerto Colombia,CO,87.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
550,Hambantota,LK,79.43,broken clouds,6.1241,81.1185,Bungalow 63
556,Morondava,MG,81.61,clear sky,-20.2833,44.2833,La Case Bambou
557,Bartica,GY,84.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
561,Mitsamiouli,KM,81.91,clear sky,-11.3847,43.2844,Foyer ADM
565,Aswan,EG,88.38,clear sky,24.0934,32.907,Nuba Nile
569,Columbia,US,82.74,few clouds,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
571,Bima,ID,76.98,light rain,-8.4667,118.7167,Lambitu Hotel
578,Gombe,NG,83.95,light rain,10.2897,11.1673,Custodian Hotel Gombe
581,Coahuayana,MX,87.96,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
584,Yara,CU,84.25,light rain,20.2753,-76.9533,Casa de Margarita Puebla Lorente
590,Inirida,CO,82.11,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
