City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
30,Barrow,US,71.2906,-156.7887,1.42,71,0,8.05,clear sky
31,Nikolskoye,RU,59.7035,30.7861,37.8,78,100,3.91,overcast clouds
32,Dikson,RU,73.5069,80.5464,-7.64,100,87,4.9,overcast clouds
33,Saldanha,ZA,-33.0117,17.9442,59.56,82,0,10.4,clear sky
34,Ribeira Grande,PT,38.5167,-28.7,58.51,71,12,19.01,few clouds
35,Port Elizabeth,ZA,-33.918,25.5701,65.32,98,0,3.0,clear sky
36,Jamestown,US,42.097,-79.2353,43.02,40,0,6.91,clear sky
37,Tuktoyaktuk,CA,69.4541,-133.0374,13.84,78,100,10.49,overcast clouds
38,Mahebourg,MU,-20.4081,57.7,76.24,87,43,14.23,light rain
39,Hilo,US,19.7297,-155.09,78.28,77,100,4.61,moderate rain
40,Mapiri,BO,-15.25,-68.1667,73.8,69,91,0.45,overcast clouds
41,Mar Del Plata,AR,-38.0023,-57.5575,63.88,86,0,11.99,moderate rain
42,Port Alfred,ZA,-33.5906,26.891,64.6,82,26,7.72,scattered clouds
43,Asau,RO,46.4333,26.4,36.28,81,29,5.32,scattered clouds
44,Portland,US,45.5234,-122.6762,60.62,44,100,6.91,overcast clouds
45,Acarau,BR,-2.8856,-40.12,79.65,84,71,8.52,broken clouds
46,La Ronge,CA,55.1001,-105.2842,31.57,80,100,3.67,light snow
47,Dunedin,NZ,-45.8742,170.5036,50.31,79,0,2.62,clear sky
48,Yinchuan,CN,38.4681,106.2731,45.75,39,0,5.59,clear sky
49,Angoram,PG,-4.0625,144.0661,74.55,98,78,1.07,light rain
50,Yar-Sale,RU,66.8333,70.8333,8.33,92,93,8.39,overcast clouds
51,Thompson,CA,55.7435,-97.8558,30.43,59,100,2.55,overcast clouds
52,Ulaangom,MN,49.9811,92.0667,40.71,35,1,2.08,clear sky
53,Bilibino,RU,68.0546,166.4372,18.79,91,100,1.3,overcast clouds
54,Kununurra,AU,-15.7667,128.7333,73.38,94,28,1.14,scattered clouds
55,Chara,RU,56.9064,118.2631,26.56,91,100,3.29,light snow
56,Hobart,AU,-42.8794,147.3294,55.06,90,75,9.22,broken clouds
57,Mount Gambier,AU,-37.8333,140.7667,56.17,88,100,3.94,light rain
58,Nanortalik,GL,60.1432,-45.2371,30.4,82,49,9.78,scattered clouds
59,Pisco,PE,-13.7,-76.2167,69.03,77,0,10.36,clear sky
60,Bluff,NZ,-46.6,168.3333,41.81,83,7,8.25,clear sky
61,Kapaa,US,22.0752,-159.319,78.78,84,75,17.27,broken clouds
62,Parana,AR,-31.732,-60.5238,73.54,55,21,3.53,few clouds
63,Brae,GB,60.3964,-1.353,47.32,81,100,15.75,overcast clouds
64,Ushuaia,AR,-54.8,-68.3,49.66,76,75,17.27,light intensity drizzle
65,Inta,RU,66.0317,60.1659,23.74,93,64,10.67,broken clouds
66,Avarua,CK,-21.2078,-159.775,82.45,74,20,6.91,few clouds
67,Abha,SA,18.2164,42.5053,66.45,32,20,5.75,few clouds
68,Cherskiy,RU,68.75,161.3,9.72,90,100,5.64,overcast clouds
69,Punta Arenas,CL,-53.15,-70.9167,48.11,93,75,10.36,light rain
70,Bentiu,SS,9.2333,29.8333,91.15,33,63,4.23,broken clouds
71,Georgetown,MY,5.4112,100.3354,82.33,89,20,0.0,few clouds
72,Itupiranga,BR,-5.1347,-49.3267,77.32,89,75,0.76,broken clouds
73,Kirkland Lake,CA,48.1446,-80.0377,35.19,54,100,8.68,overcast clouds
74,Balkanabat,TM,39.5108,54.3671,54.64,83,94,1.19,overcast clouds
75,Grindavik,IS,63.8424,-22.4338,41.47,75,75,9.22,broken clouds
